eta,Algorithme,Nombre de points P,Dimension N,Avg_nbIter,Avg_R,Temps_execution_s
0.08,online,10,100,1.7149999999999999,0.04790415580204104,6.640196297846642e-07
0.08,batch,10,100,1.88,0.05171829456494255,7.225375319256184e-07
0.08,online,10,5000,1.2783333333333333,0.006450410411517395,1.9884772098732447e-05
0.08,batch,10,5000,1.395,0.0068168951098846724,2.185931259257443e-05
0.08,online,100,2,16.598333333333333,0.8817257121199916,1.706665926066768e-06
0.08,batch,100,2,15.15,0.9592164061955888,1.630498148086998e-06
0.08,online,100,10,19.976666666666667,0.9654027845884872,4.537277283537903e-06
0.08,batch,100,10,12.93,0.980633995526271,3.2467296292407467e-06
0.08,online,100,100,5.554999999999999,0.5871545536214466,1.1577941358008963e-05
0.08,batch,100,100,6.905,0.6143651643472201,1.3899868395018541e-05
0.08,online,100,5000,3.128333333333333,0.07239068303236564,0.0003369606972837326
0.08,batch,100,5000,3.788333333333333,0.07793709844626102,0.00040228399975371923
0.08,online,500,2,22.99833333333333,0.9951880762556887,9.660911358128315e-06
0.08,batch,500,2,48.99333333333333,0.9655997188684426,2.0257081234839133e-05
0.08,online,500,10,48.315000000000005,0.9893415233795733,4.721650049395077e-05
0.08,batch,500,10,34.6,0.9695687426296822,3.41927293828907e-05
0.08,online,500,100,33.87500000000001,0.9535702481942633,0.0002644726892586878
0.08,batch,500,100,18.05666666666667,0.9502948891840095,0.00014403419061793864
0.08,online,500,5000,5.126666666666667,0.20128163260167528,0.002388386330370832
0.08,batch,500,5000,5.394999999999999,0.21498691469455003,0.0026689794658026427
0.08,online,1000,2,28.62666666666667,0.9978346462880975,2.247541469110774e-05
0.08,batch,1000,2,49.0,0.9328386411169568,3.8500797653996186e-05
0.08,online,1000,10,49.0,0.9942383099065129,8.787382197577829e-05
0.08,batch,1000,10,45.22833333333333,0.9791657688387709,8.116336172794418e-05
0.08,online,1000,100,48.89333333333333,0.9843483945790779,0.0006731507875309843
0.08,batch,1000,100,22.055,0.9839966111763421,0.00031758891296297036
0.08,online,1000,5000,6.421666666666666,0.29519442750835123,0.005346224026666541
0.08,batch,1000,5000,6.1466666666666665,0.3115070240172602,0.005392780736049085
